id,name,battery_power,bluetooth ,clock_speed,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width ,touch_screen,wifi,warranty ,fingerprint,price
1,SAMSUNG SMARTPHONE GALAXY A31,5000,Bluetooth V 5.0,2,20,1,128,0.8,0.185,8,48,2400,1080,8,15.93,7.31,1,1,1,1,6999
2,SAMSUNG SMARTPHONE GALAXY S21 ULTRA (16+512) PHANTOM BLACK (5G),5000,Bluetooth V 5.1,2.9,40,1,512,0.8,0.227,8,108,3200,1440,16,16.51,7.56,1,1,1,1,45900
3,SAMSUNG SMARTPHONE GALAXY A01 (2+16) BLACK,3000,Bluetooth V 4.2,1.95,5,1,16,0.8,0.149,8,13,1520,720,2,14.62,7,1,1,1,1,3290
4,SAMSUNG SMARTPHONE GALAXY A02S (4+64GB) BLACK,5000,Bluetooth V 4.2,1.8,5,1,64,0.91,0.196,8,13,1600,720,4,16.42,7.59,1,1,1,0,3999
5,SAMSUNG SMARTPHONE GALAXY A12 (4+128GB) BLACK,5000,Bluetooth V 5.0,2.3,8,1,128,0.8,0.205,8,48,1560,720,4,16.4,7.58,1,1,1,1,4999
6,SAMSUNG SMARTPHONE GALAXY A21S (6+128GB) BLACK,5000,Bluetooth V 5.0,2,13,1,128,0.8,0.192,8,48,1600,720,6,16.37,7.53,1,1,1,1,6599
7,SAMSUNG SMARTPHONE GALAXY A30S WHITE,4000,Bluetooth V 5.0,1.8,16,1,64,0.7,0.166,8,25,1560,720,4,15.85,7.47,1,1,1,1,7990
8,SAMSUNG SMARTPHONE GALAXY A32 (8+128) AWESOME BLACK,5000,Bluetooth V 5.0,2,20,1,128,0.84,0.184,8,64,2400,1080,8,15.89,7.36,1,1,1,1,8499
9,SAMSUNG SMARTPHONE GALAXY A42 (8+128) PRISM DOT BLACK (5G),5000,Bluetooth V 5.0,2.2,20,1,128,0.8,0.193,8,48,1600,720,8,16.44,7.59,1,1,1,1,10999
10,SAMSUNG SMARTPHONE GALAXY A71 (8+128GB) PRISM CRUSH BLACK,4500,Bluetooth V 5.0,2.2,32,1,128,0.7,0.179,8,64,2400,1080,8,16.36,7.6,1,1,1,1,11990
11,SAMSUNG SMARTPHONE GALAXY A52 (8+128GB) AWESOME BLACK,4500,Bluetooth V 5.0,2.3,32,1,128,0.751,0.189,8,64,2400,1080,8,15.99,7.51,1,1,1,1,11999
12,SAMSUNG SMARTPHONE GALAXY NOTE 10 LITE (8+128GB) AURA BLACK,4500,Bluetooth V 5.0,2.7,32,1,128,0.8,0.199,8,12,2400,1080,8,16.37,7.6,1,1,1,1,15990
13,SAMSUNG SMARTPHONE GALAXY S20 FE (8+128) CLOUD WHITE,4500,Bluetooth V 5.0,2.84,32,1,128,0.8,0.19,8,12,2400,1080,8,15.98,7.45,1,1,1,1,20900
14,SAMSUNG SMARTPHONE GALAXY NOTE 10 PLUS (256GB) AURA BLACK,4300,Bluetooth V 5.0,2.73,10,1,256,0.7,0.196,8,12,3040,1440,12,16.23,7.72,1,1,1,1,37900
15,SAMSUNG SMARTPHONE GALAXY S20 FE (8+128) CLOUD WHITE (5G),4500,Bluetooth V 5.0,2.84,32,1,128,0.8,0.19,8,12,2400,1080,8,15.98,7.45,1,1,1,1,23900
16,SAMSUNG SMARTPHONE GALAXY Z FLIP MIRROR BLACK,3300,Bluetooth V 5.0,2.95,10,1,256,0.7,0.183,8,12,2636,1080,8,16.73,7.36,1,1,1,1,44900
17,SAMSUNG SMARTPHONE GALAXY S21 (8+128) PHANTOM GRAY (5G),4000,Bluetooth V 5.0,2.9,10,1,128,0.7,0.171,8,64,2400,1080,8,15.17,7.12,1,1,1,1,27900
18,SAMSUNG SMARTPHONE GALAXY S20 COSMOS GREY,4000,Bluetooth V 5.0,2.73,10,1,128,0.7,0.163,8,64,3200,1440,8,15.17,6.91,1,1,1,1,28900
19,SAMSUNG SMARTPHONE GALAXY S20+ COSMOS GREY,4500,Bluetooth V 5.0,2.84,10,1,128,0.7,0.186,8,64,3200,1440,8,16.19,7.37,1,1,1,1,31900
20,SAMSUNG SMARTPHONE GALAXY S21+ (8+128) PHANTOM VIOLET (5G),4800,Bluetooth V 5.0,2.9,10,1,128,0.7,0.202,8,64,2400,1080,8,16.17,7.56,1,1,1,1,33900
21,SAMSUNG SMARTPHONE GALAXY NOTE 20 (8+256GB) MYSTIC BRONZE (5G),4300,Bluetooth V 5.1,2.73,10,1,256,0.8,0.208,8,64,2400,1080,8,16.76,7.52,1,1,1,1,33900
22,SAMSUNG SMARTPHONE GALAXY NOTE 20 ULTRA (8+256GB) MYSTIC BRONZE,4500,Bluetooth V 5.1,2.73,10,1,256,0.8,0.208,8,108,3200,1440,8,16.48,7.7,1,1,1,1,38900
23,SAMSUNG SMARTPHONE GALAXY S21 ULTRA (12+128) PHANTOM BLACK(5G),5000,Bluetooth V 5.1,2.9,40,1,128,0.8,0.227,8,108,3200,1440,12,16.51,7.56,1,1,1,1,39900
24,SAMSUNG SMARTPHONE GALAXY A10S GREEN,4000,Bluetooth V 5.0,2,8,1,32,0.7,0.168,8,13,1520,720,2,15.69,7.58,1,1,1,1,3399
25,SAMSUNG SMARTPHONE GALAXY A20 RED,4000,Bluetooth V 5.0,1.6,8,1,32,0.7,0.169,8,13,1560,720,3,15.84,7.47,1,1,1,1,5490
26,SAMSUNG SMARTPHONE GALAXY A31 (4+128GB) BLACK,5000,Bluetooth V 5.0,2,20,1,128,0.8,0.185,8,48,2400,1080,4,15.93,7.31,1,1,1,1,7999
27,SAMSUNG SMARTPHONE GALAXY A50S (6+128) BLACK,4000,Bluetooth V 5.0,2.3,32,1,128,0.7,0.169,8,48,2340,1080,6,15.85,7.45,1,1,1,1,9990
28,HUAWEI SMARTPHONE Y6S ORCHID BLUE,3020,Bluetooth V 4.2,2.3,8,1,64,0.8,0.15,8,13,1560,720,3,15.62,7.35,1,1,1,1,3999
29,HUAWEI SMARTPHONE Y6P PHANTOM PURPLE (HMS),5000,Bluetooth V 5.0,2,8,1,64,0.9,0.185,8,13,1600,720,4,15.91,7.41,1,1,1,1,3999
30,HUAWEI SMARTPHONE Y7 MIDNIGHT BLACK,4000,Bluetooth V 4.2,1.8,8,1,64,0.81,0.168,8,16,1520,720,4,15.89,7.61,1,1,1,1,4499
31,HUAWEI SMARTPHONE Y7P MIDNIGHT BLACK (HMS),4000,Bluetooth V 5.0,1.7,8,1,64,0.8,0.176,8,48,1560,720,4,15.98,7.613,1,1,1,1,4999
32,HUAWEI SMARTPHONE Y9 PRIME 2019 MIDNIGHT BLACK,4000,Bluetooth V 4.2,2.2,16,1,128,0.88,0.197,8,16,2340,1080,4,16.35,7.73,1,1,1,1,5999
33,HUAWEI SMARTPHONE Y7A CRUSH GREEN (HMS),5000,Bluetooth V 5.1,2,8,1,128,0.9,0.206,8,48,2400,1080,4,16.57,7.69,1,1,1,1,5999
34,HUAWEI SMARTPHONE Y9S BREATHING CRYSTAL,4000,Bluetooth V 4.2,2.2,16,1,128,0.8,0.206,8,48,2340,1080,6,16.31,7.72,1,1,1,1,7990
35,HUAWEI SMARTPHONE NOVA 7I SAKURA PINK (HMS),4200,Bluetooth V 5.1,2.27,16,1,128,0.8,0.183,8,48,2310,1080,8,15.92,7.63,1,1,1,1,7990
36,HUAWEI SMARTPHONE NOVA 7SE SPACE SILVER (HMS) (5G),4000,Bluetooth V 5.1,2.36,16,1,128,0.8,0.189,8,64,2400,1080,8,16.23,7.5,1,1,1,1,11990
37,HUAWEI SMARTPHONE P30 PRO AURORA,4200,Bluetooth V 5.0,2.6,32,1,256,0.84,0.192,8,40,2340,1080,8,15.8,7.34,1,1,1,1,19990
38,HUAWEI SMARTPHONE NOVA 7 MIDSUMMER PURPLE (HMS) (5G),4000,Bluetooth V 5.1,2.58,32,1,256,0.8,0.18,8,64,2400,1080,8,16.06,7.43,1,1,1,1,16990
39,HUAWEI SMARTPHONE P40 SILVER FROST (HMS) (5G),3800,Bluetooth V 5.1,2.86,32,1,128,0.8,0.175,8,50,2340,1080,8,14.86,7.11,1,1,1,1,22990
40,HUAWEI SMARTPHONE MATE 40 PRO MYSTIC SILVER (HMS) (5G),4400,Bluetooth V 5.2,3.13,13,1,256,0.9,0.212,8,50,2772,1344,8,16.29,7.55,1,1,1,1,37990
41,OPPO SMARTPHONE A15 DYNAMIC BLACK,4230,Bluetooth V 5.1,2.35,8,1,32,0.7,0.175,8,13,1600,720,3,16.4,7.54,1,1,1,1,4299
42,OPPO SMARTPHONE A12 (4+64GB) BLUE,4230,Bluetooth V 4.2,2.35,5,1,64,0.8,0.165,8,13,1560,720,4,15.59,7.55,1,1,1,1,4599
43,OPPO SMARTPHONE A15S DYNAMIC BLACK,4230,Bluetooth V 5.0,2.3,8,1,64,0.7,0.177,8,13,1600,720,4,16.4,7.54,1,1,1,1,4999
44,OPPO SMARTPHONE A93 BLACK,4000,Bluetooth V 5.1,2.2,16,1,128,0.7,0.164,8,16,2400,1080,8,16.01,7.38,1,1,1,1,8999
45,OPPO SMARTPHONE A94 FANTASTIC PURPLE,4310,Bluetooth V 5.1,2.2,32,1,128,0.78,0.172,8,48,2400,1080,8,16.01,7.32,1,1,1,1,9499
46,OPPO SMARTPHONE RENO4 NEBULA PURPLE,4015,Bluetooth V 5.1,2.3,32,1,128,0.7,0.183,8,48,2400,1080,8,15.93,7.4,1,1,1,1,10990
47,OPPO SMARTPHONE RENO5 GALACTIC SLIVER,4310,Bluetooth V 5.1,2.3,44,1,128,0.7,0.171,8,64,2400,1080,8,15.91,7.33,1,1,1,1,10990
48,OPPO SMARTPHONE RENO4 Z (8GB+128GB) INK BLACK (5G),4000,Bluetooth V 5.1,2,16,1,128,0.8,0.184,8,48,2400,1080,8,16.38,7.5,1,1,1,1,12990
49,OPPO SMARTPHONE RENO3 PRO MIDNIGHT BLACK,4025,Bluetooth V 5.0,2.2,44,1,256,0.8,0.175,8,64,2400,1080,8,15.88,7.34,1,1,1,1,18990
50,OPPO SMARTPHONE RENO4 PRO (12GB+256GB) SPACE BLACK (5G),4000,Bluetooth V 5.1,2.4,32,1,256,0.7,0.172,8,48,2400,1080,12,15.96,7.25,1,1,1,1,24990
51,OPPO SMARTPHONE RENO5 PRO STARRY BLACK (5G),4350,Bluetooth V 5.1,2.6,32,1,256,0.7,0.173,8,64,2400,1080,12,15.97,7.32,1,1,1,1,19990
52,OPPO SMARTPHONE FIND X3 PRO (5G) GLOSS BLACK,4500,Bluetooth V 5.2,2.84,32,1,256,0.826,0.193,8,50,3216,1440,12,16.36,7.4,1,1,1,1,33990
53,OPPO SMARTPHONE A5 2020 (4GB+128GB) DAZZLING WHITE,5000,Bluetooth V 5.0,2,8,1,128,0.9,0.195,8,12,1600,720,4,16.36,7.54,1,1,1,1,6299
54,OPPO SMARTPHONE A7 GLARING GOLD,4230,Bluetooth V 4.2,1.8,16,1,64,0.8,0.168,8,13,1520,720,4,15.59,7.54,1,1,1,1,5990
55,OPPO SMARTPHONE A5S (3GB+32GB) RED,4230,Bluetooth V 4.2,2.3,8,1,32,0.8,0.17,8,13,1520,720,3,15.59,7.54,1,1,1,1,4599
56,OPPO SMARTPHONE A53 MINT CREAM,5000,Bluetooth V 5.0,1.8,16,1,64,0.8,0.186,8,13,1600,720,4,16.39,7.51,1,1,1,1,5499
57,OPPO SMARTPHONE RENO2 SUNSET PINK,4000,Bluetooth V 5.0,2.2,16,1,256,0.9,0.189,8,16,2400,1080,8,16,7.43,1,1,1,1,17990
58,OPPO SMARTPHONE F11 MARBLE GREEN,4020,Bluetooth V 4.2,2.1,16,1,128,0.8,0.188,8,16,2340,1080,4,16.2,761,1,1,1,1,7990
59,OPPO SMARTPHONE F11 PRO 64GB AURORA GREEN,4000,Bluetooth V 4.2,2.1,16,1,64,0.8,0.19,8,16,2340,1080,6,16.1,7.61,1,1,1,1,8490
60,OPPO SMARTPHONE A31 (6+128GB) MYSTERY BLACK,5000,Bluetooth V 5.0,2,20,1,128,0.8,0.185,8,20,2400,1080,6,15.93,7.31,1,1,1,1,6999
61,OPPO SMARTPHONE RENO2F SKY WHITE,4000,Bluetooth V 4.2,2.1,16,1,128,0.8,0.195,8,48,2340,1080,8,16.24,7.58,1,1,1,1,11990
62,OPPO SMARTPHONE A92 TWILIGHT BLACK,5000,Bluetooth V 5.0,2,16,1,128,0.8,0.192,8,48,2400,1080,8,16.2,7.55,1,1,1,1,8999
63,OPPO SMARTPHONE A9 2020 VANILA MINT,5000,Bluetooth V 5.0,2,16,1,128,0.9,0.195,8,48,1600,720,8,16.36,7.56,1,1,1,1,8990
64,OPPO SMARTPHONE FIND X GLACIER BLUE,3730,Bluetooth V 5.0,2.8,25,1,256,0.9,0.186,8,16,2340,1080,8,15.67,7.42,1,1,1,1,29990
65,OPPO SMARTPHONE RENO OCEAN GREEN,3765,Bluetooth V 5.0,2.2,16,1,256,0.9,0.185,8,48,2340,1080,6,15.66,7.43,1,1,1,1,16990
66,OPPO SMARTPHONE RENO 10X SUNSET ROSE,4065,Bluetooth V 5.0,2.8,16,1,256,0.9,0.21,8,48,2340,1080,8,16.2,7.72,1,1,1,1,24990
67,OPPO SMARTPHONE FIND X2 OCEAN (5G),4200,Bluetooth V 5.1,2.8,32,1,256,0.8,0.164,8,48,3168,1440,12,16.79,7.45,1,1,1,1,33990
68,VIVO SMARTPHONE Y12S PHANTOM BLACK,5000,Bluetooth V 5.0,1.8,8,1,32,0.8,0.191,8,13,1600,720,3,16.44,7.63,1,1,1,1,4299
69,VIVO SMARTPHONE Y15 2020 PHANTOM BLACK,5000,Bluetooth V 5.0,2,16,1,64,0.8,0.19,8,13,1544,720,4,15.94,7.68,1,1,1,1,4699
70,VIVO SMARTPHONE Y30 (4+64GB) MOONSTONE WHITE,5000,Bluetooth V 5.0,2.3,8,1,128,0.91,0.197,8,13,1560,720,4,16.2,7.64,1,1,1,1,4999
71,VIVO SMARTPHONE Y20 (2021) DAWN WHITE,5000,Bluetooth V 5.0,2.3,8,1,64,0.8,0.192,8,13,1600,720,4,16.44,7.63,1,1,1,1,5299
72,VIVO SMARTPHONE Y31 (4+128GB) RACING BLACK,5000,Bluetooth V 5.0,2,8,1,128,0.8,0.188,8,48,2408,1080,4,16.39,7.53,1,1,1,1,5999
73,VIVO SMARTPHONE Y20S (8+128GB) OBSIDIAN BLACK,5000,Bluetooth V 5.0,1.8,8,1,128,0.8,0.192,8,13,1600,720,8,16.44,7.63,1,1,1,1,6599
74,VIVO SMARTPHONE Y50 (8+128GB) IRIS BLUE,5000,Bluetooth V 5.0,2,16,1,128,0.9,0.197,8,13,2400,1080,8,16.2,7.65,1,1,1,1,7299
75,VIVO SMARTPHONE S1 PRO KNIGHT BLACK,4500,Bluetooth V 5.0,2,32,1,128,0.8,0.186,8,48,2340,1080,8,15.92,7.51,1,1,1,1,9999
76,VIVO SMARTPHONE V20 SE OXYGEN BLUE,4100,Bluetooth V 5.0,2,32,1,128,0.78,0.171,8,48,2400,1080,8,16.1,7.41,1,1,1,1,8699
77,VIVO SMARTPHONE V19 GLEAM BLACK,4500,Bluetooth V 5.0,2.3,32,1,128,0.8,0.186,8,48,2400,1080,8,15.96,7.5,1,1,1,1,12999
78,VIVO SMARTPHONE Y72 (5G) DREAM GLOW,5000,Bluetooth V 5.0,2.2,16,1,128,0.85,0.193,8,64,2408,1080,8,16.39,7.53,1,1,1,1,9999
