id,name,battery_power,bluetooth ,clock_speed,front_camera,four_g,int_memory,m_dep,mobile_wt,n_cores,primary_camera,px_height,px_width,ram,screen_height,screen_width ,touch_screen,wifi,warranty ,fingerprint,price
79,VIVO SMARTPHONE V20 SUNSET MELODY,4000,Bluetooth V 5.1,2.3,44,1,128,0.7,0.171,8,64,2400,1080,8,16.13,7.42,1,1,1,1,11999
80,VIVO SMARTPHONE V20 PRO MOONLIGHT SONATA (5G),4000,Bluetooth V 5.1,2.4,44,1,128,0.73,0.17,8,64,2400,1080,8,15.8,7.42,1,1,1,1,12999
81,VIVO SMARTPHONE X50 PRO ALPHA GREY (5G),4315,Bluetooth V 5.1,2.4,32,1,256,0.8,0.181,8,48,2376,1080,8,15.84,7.28,1,1,1,1,19990
82,VIVO SMARTPHONE Y11 SKYLINE BLUE,5000,Bluetooth V 4.0,1.95,8,1,32,0.8,0.19,8,13,1544,720,3,15.94,7.67,1,1,1,1,4299
83,VIVO SMARTPHONE Y93 RED,4030,Bluetooth V 4.2,2,8,1,32,0.8,0.163,8,13,1520,720,3,15.51,7.51,1,1,1,1,4599
84,VIVO SMARTPHONE Y95 AURORA RED,4030,Bluetooth V 4.2,1.95,20,1,64,0.8,0.163,8,13,1520,720,4,15.51,7.51,1,1,1,1,6599
85,VIVO SMARTPHONE V15 TOPAZ BLUE,4000,Bluetooth V 4.2,2.1,32,1,128,0.8,0.189,8,24,2340,1080,6,16.12,7.59,1,1,1,1,7999
86,VIVO SMARTPHONE V17 ADMIRAL BLUE,4500,Bluetooth V 5.0,2,32,1,256,0.8,0.176,8,48,2400,1080,8,15.9,7.42,1,1,1,1,11999
87,VIVO SMARTPHONE NEX 3 GLOWING NIGHT,4500,Bluetooth V 5.0,2.96,16,1,128,0.9,0.217,8,64,2256,1080,8,16.74,7.61,1,1,1,1,24999
88,REALME SMARTPHONE C12 MARINE BLUE,6000,Bluetooth V 5.0,2.3,5,1,32,0.9,0.209,8,13,1560,720,3,16.45,7.59,1,1,1,1,3999
89,REALME SMARTPHONE 5I (4+128) FOREST GREEN,5000,Bluetooth V 5.0,2,8,1,128,0.9,0.195,8,12,1600,720,4,16.44,7.5,1,1,1,1,4999
90,REALME SMARTPHONE C17 NAVY BLUE,5000,Bluetooth V 5.0,1.8,8,1,64,0.8,0.188,8,13,1600,720,4,16.41,7.55,1,1,1,1,4999
91,REALME SMARTPHONE 6I BLUE SODA,5000,Bluetooth V 5.0,2,16,1,128,0.9,0.199,8,48,1600,720,4,16.44,7.54,1,1,1,1,6499
92,REALME SMARTPHONE 6 (4+128) COMET BLUE,4300,Bluetooth V 5.0,2.05,16,1,128,0.8,0.191,8,64,2400,1080,4,16.21,7.48,1,1,1,1,7999
93,REALME SMARTPHONE 7I POLAR BLUE,5000,Bluetooth V 5.0,2,16,1,128,0.8,0.188,8,64,1600,720,8,16.41,7.55,1,1,1,1,7499
94,REALME SMARTPHONE 7 FLASH SILVER (5G),5000,Bluetooth V 5.1,2.4,16,1,128,0.9,0.195,8,48,2400,1080,8,16.22,7.51,1,1,1,1,9999
95,REALME SMARTPHONE 6 PRO (8+128) LIGHTNING RED,4300,Bluetooth V 5.1,2.3,16,1,128,0.8,0.202,8,64,2400,1080,8,16.38,7.59,1,1,1,1,10999
96,REALME SMARTPHONE 7 PRO (8+128) HORIZON ORANGE,4500,Bluetooth 5.0,2.3,32,1,128,0.87,0.182,8,64,2400,1080,8,16.09,7.43,1,1,1,1,10990
97,REALME SMARTPHONE X7 PRO IRIDESCENT (5G),4500,Bluetooth V 5.0,2.6,32,1,128,0.8,0.184,8,64,2400,1080,8,16.08,7.51,1,1,1,1,16990
98,REALME SMARTPHONE X3 SUPERZOOM ARCTIC WHITE,4200,Bluetooth V 5.0,2.96,32,1,256,0.9,0.202,8,64,2400,1080,12,16.38,7.58,1,1,1,1,19990
99,REALME SMARTPHONE X50PRO MOSS GREEN,4200,Bluetooth V 5.1,2.84,32,1,256,0.8,0.205,8,64,2400,1080,12,15.9,7.42,1,1,1,1,28990
100,REALME SMARTPHONE 3 (4+64) DYNAMIC BLACK,4230,Bluetooth V 4.2,2.1,13,1,64,0.8,0.175,8,13,1520,720,4,15.61,7.56,1,1,1,1,2590
101,REALME SMARTPHONE C2 DIAMOND BLUE,4000,Bluetooth V 4.2,2,5,1,32,0.8,0.166,8,13,1560,720,3,15.43,7.37,1,1,1,0,3599
102,REALME SMARTPHONE C1 (2019) (2+32) BLACK,4230,Bluetooth V 4.2,1.8,5,1,32,0.8,0.168,8,13,1520,720,2,15.62,7.56,1,1,1,1,3590
103,REALME SMARTPHONE C11 MINT GREEN,5000,Bluetooth V 5.0,2.3,5,1,32,0.9,0.196,8,13,1560,720,2,16.44,7.59,1,1,1,1,3499
104,REALME SMARTPHONE C3 BLAZING RED,5000,Bluetooth V 5.0,2,5,1,32,0.9,0.195,8,12,1600,720,3,16.44,7.5,1,1,1,1,3999
105,REALME SMARTPHONE 5 (4+128) CRYSTAL BLUE,5000,Bluetooth V 5.0,2,13,1,128,0.9,0.198,8,12,1600,720,4,16.44,7.56,1,1,1,1,5999
106,REALME SMARTPHONE 5S CRYSTAL BLUE,5000,Bluetooth V 5.0,2,13,1,128,0.9,0.198,8,48,1600,720,4,16.44,7.56,1,1,1,1,5999
107,REALME SMARTPHONE 3 PRO NITRO BLUE,4045,Bluetooth V 5.0,2.2,25,1,128,0.8,0.172,8,16,2340,1080,6,15.68,7.42,1,1,1,1,6999
108,REALME SMARTPHONE 5 PRO (4+128) SPARKLING BLUE,4035,Bluetooth V 5.0,2.3,16,1,128,0.8,0.184,8,48,2340,1080,4,15.7,7.42,1,1,1,1,6999
109,REALME SMARTPHONE XT PEARL BLUE,4000,Bluetooth V 5.0,2.3,16,1,128,0.8,0.183,8,64,2340,1080,8,15.87,7.52,1,1,1,1,10999
110,XIAOMI SMARTPHONE REDMI 9A (2+32GB) PEACOCK GREEN,5000,Bluetooth V 5.0,2,5,1,32,0.9,0.194,8,13,1600,720,2,16.49,7.7,1,1,1,1,2799
111,XIAOMI SMARTPHONE REDMI 9 (4+64GB) OCEAN GREEN,5020,Bluetooth V 5.0,2,8,1,64,0.9,0.198,8,13,2340,1080,4,16.33,7.7,1,1,1,1,3999
112,XIAOMI SMARTPHONE REDMI 9T (4+64) TWILIGHT BLUE,6000,Bluetooth V 5.0,2,8,1,64,0.9,0.198,8,48,2340,1080,4,16.23,7.73,1,1,1,1,4499
113,XIAOMI SMARTPHONE REDMI NOTE 9 (4+128) MIDNIGHT GREY,5020,Bluetooth V 5.0,2,13,1,128,0.8,0.199,8,48,2340,1080,4,16.23,7.72,1,1,1,1,5299
114,XIAOMI SMARTPHONE REDMI NOTE 10 (6+128) LAKE GREEN,5000,Bluetooth V 5.0,2.2,13,1,128,0.9,0.208,8,48,2400,1080,6,15.78,7.42,1,1,1,1,5999
115,XIAOMI SMARTPHONE REDMI NOTE 9S (6+128) GLACIER WHITE,5020,Bluetooth V 5.0,2.3,16,1,128,0.8,0.209,8,48,2400,1080,6,15.58,7.67,1,1,1,1,6999
116,XIAOMI SMARTPHONE REDMI NOTE 9 PRO (6+128) TROPICAL GREEN,5020,Bluetooth V 5.0,2.3,16,1,128,0.8,0.209,8,64,2400,1080,6,16.58,7.67,1,1,1,1,7999
117,XIAOMI SMARTPHONE MI 10T (8+128) LUNAR SILVER (5G),5000,Bluetooth V 5.1,2.84,20,1,128,0.9,0.216,8,64,2400,1080,8,16.51,7.64,1,1,1,1,12990
118,XIAOMI SMARTPHONE MI 10T PRO (8+128) LUNAR SILVER (5G),5000,Bluetooth V 5.1,2.84,20,1,128,0.9,0.218,8,108,2400,1080,8,16.51,7.64,1,1,1,1,13990
119,XIAOMI SMARTPHONE MI NOTE 10 (6+128) GLACIER WHITE,5260,Bluetooth V 5.0,2.2,32,1,128,0.9,0.208,8,108,2340,1080,6,15.78,7.42,1,1,1,1,16990
120,XIAOMI SMARTPHONE MI 10T PRO (8+256) AURORA BLUE (5G),5000,Bluetooth V 5.1,2.84,20,1,256,0.9,0.218,8,108,2400,1080,8,16.51,7.64,1,1,1,1,15990
121,XIAOMI SMARTPHONE MI 11 (8+128) MIDNIGHT GRAY (5G),4600,Bluetooth V 5.2,2.84,20,1,128,0.8,0.196,8,108,3200,1440,8,16.43,7.46,1,1,1,1,21990
122,XIAOMI SMARTPHONE REDMI NOTE 6 PRO EU 4+64 ROSE GOLD,4000,Bluetooth V 5.0,1.8,20,1,64,0.8,0.182,8,12,2280,1080,4,15.79,7.64,1,1,1,1,6990
123,XIAOMI SMARTPHONE REDMI NOTE 7 (4/64) SPACE BLACK,4000,Bluetooth V 5.0,2.2,13,1,64,0.8,0.186,8,48,2340,1080,4,15.92,7.52,1,1,1,1,6599
124,XIAOMI SMARTPHONE MI A3 (4+128) MORE THAN WHITE,4030,Bluetooth V 5.0,2,32,1,128,0.8,0.173,8,48,1560,720,4,15.35,7.1,1,1,1,1,7990
125,XIAOMI SMARTPHONE MI 8 LITE EU 6+128 MIDNIGHT BLACK,3350,Bluetooth V 5.0,2.2,24,1,128,0.7,0.169,8,12,2280,1080,6,15.64,7.58,1,1,1,1,8999
126,XIAOMI SMARTPHONE REDMI 8A (2+32) MIDNIGHT BLACK,5000,Bluetooth V 4.2,2,8,1,32,0.9,0.188,8,12,1520,720,2,15.65,7.54,1,1,1,0,2999
127,XIAOMI SMARTPHONE POCO M3 (4+64) POWER BLACK,6000,Bluetooth V 5.0,2,8,1,64,0.9,0.198,8,48,2340,1080,4,16.23,7.73,1,1,1,1,3999
128,XIAOMI SMARTPHONE REDMI 8 (4+64) SAPPHIRE BLUE,5000,Bluetooth V 4.2,1.95,8,1,64,0.9,0.188,8,12,1520,720,4,15.65,7.54,1,1,1,1,3999
129,XIAOMI SMARTPHONE REDMI NOTE 8 (4+64) MOONLIGHT WHITE,4000,Bluetooth V 5.0,2,13,1,64,0.8,0.19,8,48,2340,1080,4,15.83,7.53,1,1,1,1,3999
130,XIAOMI SMARTPHONE MI 9T (6+64GB) GLACIER BLUE,4000,Bluetooth V 5.0,2.2,20,1,64,0.8,0.191,8,48,2340,1080,6,15.67,7.43,1,1,1,1,11990
131,XIAOMI SMARTPHONE MI NOTE 10 LITE (8+128) NEBULA PURPLE,5260,Bluetooth V 5.0,2.2,16,1,128,0.9,0.204,8,64,2340,1080,8,15.78,7.42,1,1,1,1,10999
132,XIAOMI SMARTPHONE MI 9T PRO (6+128) PEARL WHITE,4000,Bluetooth V 5.0,2.84,20,1,128,0.8,0.191,8,48,2340,1080,6,15.67,7.43,1,1,1,1,14900
133,XIAOMI SMARTPHONE MI 10 (8+256) TWILIGHT GRAY (5G),4780,Bluetooth V 5.1,2.84,20,1,256,0.9,0.208,8,108,2340,1080,8,16.25,7.48,1,1,1,1,21999
134,XIAOMI SMARTPHONE POCO F2 PRO (8+256GB) CYBER GREY,4700,Bluetooth V 5.1,2.84,20,1,256,0.8,0.219,8,64,2400,1080,8,16.33,7.54,1,1,1,1,18999
135,XIAOMI SMARTPHONE MI NOTE 10 PRO (8+256) MIDNIGHT BLACK,5260,Bluetooth V 5.0,2.2,32,1,256,0.9,0.208,8,108,2340,1080,8,15.78,7.42,1,1,1,1,19990
136,APPLE IPHONE SE 2020 64GB RED,1821,Bluetooth V 5.0,2.65,7,1,64,0.73,0.148,4,12,1334,750,3,13.74,6.73,1,1,1,1,14900
137,APPLE IPHONE XR 64GB WHITE,2942,Bluetooth V 5.0,2.49,7,1,64,0.83,0.194,4,12,1792,828,3,15.09,7.57,1,1,1,0,18400
138,APPLE IPHONE 11 64GB PURPLE,3110,Bluetooth V 5.0,2.65,12,1,64,0.83,0.194,8,12,1792,828,4,15.09,7.57,1,1,1,0,22100
139,APPLE IPHONE 12 MINI 64GB RED,2227,Bluetooth V 5.0,2.49,7,1,64,0.83,0.194,8,12,1792,828,3,15.09,7.57,1,1,1,0,25400
140,APPLE IPHONE 12 64GB GREEN,3687,Bluetooth V 5.0,2.99,12,1,128,0.74,0.164,8,12,2532,1170,4,14.67,7.15,1,1,1,0,28400
141,APPLE IPHONE 12 PRO 128GB GOLD,3687,Bluetooth V 5.0,3.1,12,1,128,0.74,0.189,8,12,2532,1170,6,14.67,7.16,1,1,1,0,36900
142,APPLE IPHONE 12 PRO MAX 128GB PACIFIC BLUE,3687,Bluetooth V 5.0,3.1,12,1,128,0.74,0.226,8,12,2778,1284,6,14.67,7.15,1,1,1,0,38900
143,ASUS ZenFone 7 Pro,5000,Bluetooth V 5.1,3.1,16,1,256,0.96,0.23,8,64,2400,1080,8,16.5,7.72,1,1,1,1,29400
144,ASUS ZenFone 6,5000,Bluetooth V 5.0,2.8,12,1,256,0.84,0.19,8,48,2340,1080,8,15.91,7.54,1,1,1,1,17700
145,ASUS ROG Phone 5 Ultimate,6000,Bluetooth V 5.2,2.84,24,1,512,0.99,0.239,8,64,2448,1080,18,17.3,7.7,1,1,1,1,47900
146,ASUS ROG Phone 5,6000,Bluetooth V 5.2,2.84,24,1,256,0.99,0.239,8,64,2448,1080,16,17.3,7.7,1,1,1,1,36550
147,ASUS ROG Phone 3,6000,Bluetooth V 5.2,2.84,24,1,512,0.98,0.24,8,64,2340,1080,16,17.1,7.8,1,1,1,1,18900
148,ASUS ROG Phone 3 Strix Edition,6000,Bluetooth V 5.1,2.84,24,1,256,0.98,0.24,8,64,2340,1080,8,17.1,7.8,1,1,1,1,24990
149,ASUS ROG Phone II,6000,Bluetooth V 5.0,2.96,24,1,512,0.97,0.24,8,48,2340,1080,12,17.09,7.7,1,1,1,1,29990
150,ASUS ROG Phone,4000,Bluetooth V 5.0,2.96,12,1,512,0.83,0.2,8,12,2160,1080,8,15.88,7.62,1,1,1,1,29990
151,NOKIA 1.4,4000,Bluetooth V 4.2,1.3,5,1,32,0.87,0.178,8,8,1600,720,2,16.64,7.67,1,1,1,1,2690
152,NOKIA 5.4,4000,Bluetooth V 4.2,2,5,1,64,0.87,0.181,8,48,1560,720,4,16.09,7.59,1,1,1,1,5990
153,NOKIA 3.4,4000,Bluetooth V 5.0,1.8,5,1,64,0.87,0.18,8,13,1560,720,4,16.09,7.59,1,1,1,1,4990
154,NOKIA C3,3040,Bluetooth V 4.2,1.6,5,1,32,0.86,0.184,8,8,1440,720,3,15.99,7.7,1,1,1,1,2990
155,NOKIA C1,2500,Bluetooth V 4.2,1.3,5,1,16,0.87,0.155,8,5,960,480,1,14.76,7.14,1,1,1,1,1890
156,OnePlus Nord,4115,Bluetooth V 5.1,2.4,32,1,128,0.82,0.184,8,48,2400,1080,8,15.83,7.33,1,1,1,1,17990
157,OnePlus Nord N10,4300,Bluetooth V 5.1,2,16,1,128,0.9,0.19,8,64,2400,1080,6,16.3,7.47,1,1,1,1,9990
158,OnePlus 8,4500,Bluetooth V 5.1,2.84,16,1,128,0.84,0.188,8,48,2400,1080,8,16.07,7.41,1,1,1,1,24990
159,OnePlus 8T,4500,Bluetooth V 5.1,2.84,16,1,128,0.84,0.188,8,48,2400,1080,8,16.07,7.41,1,1,1,1,24990
160,OnePlus 8 Pro,4510,Bluetooth V 5.1,2.84,16,1,128,0.85,0.199,8,48,3168,1440,8,16.53,7.43,1,1,1,1,34990
161,OnePlus 7T,3800,Bluetooth V 5.0,2.96,16,1,128,0.81,0.19,8,48,2400,1080,8,16.09,7.44,1,1,1,1,17990
162,OnePlus 7T Pro,4085,Bluetooth V 5.0,2.96,16,1,256,0.88,0.206,8,48,3120,1440,8,16.26,7.59,1,1,1,1,26990
163,OnePlus 7T Pro McLaren Edition,4085,Bluetooth V 5.0,2.96,16,1,256,0.88,0.206,8,48,3120,1440,8,16.26,7.59,1,1,1,1,29990